game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference1,conference2,conference,tournament
6143,3.392105263,Clemson,Illinois,"Sunday, March 23, 2014",Clemson 50  Illinois 49,59,0.448453608,0.0364,ACC,Big Ten,0,0
6140,1,Belmont,Robert Morris,"Friday, March 21, 2014",Belmont 82  Robert Morris 71,73,0.47983871,0.013,Ohio Valley,Northeast,0,0
6139,1,Wichita St.,Cal Poly,"Friday, March 21, 2014",Wichita St. 64  Cal Poly 37,60,0.375,0.0015,Missouri Valley,Big West,0,1
6131,3.511617807,Saint Louis,North Carolina St.,"Thursday, March 20, 2014",Saint Louis 83  North Carolina St. 80,78,0.528225806,0.0335,A10,ACC,0,1
6126,1,Florida,Albany,"Thursday, March 20, 2014",Florida 67  Albany 55,62,0.485,0.0051,SEC,America East,0,1
6124,1,Siena,Stony Brook,"Tuesday, March 18, 2014",Siena 66  Stony Brook 55,60,0.427927928,0.03,MAAC,America East,0,0
6123,1,Penn St.,Hampton,"Wednesday, March 19, 2014",Penn St. 69  Hampton 65,65,0.471590909,0.0126,Big Ten,MEAC,0,0
6122,1,Princeton,Tulane,"Wednesday, March 19, 2014",Princeton 56  Tulane 55,61,0.479591837,0.0149,Ivy League,Conference USA,0,0
6121,1,Fresno St.,UTEP,"Wednesday, March 19, 2014",Fresno St. 61  UTEP 56,60,0.433333333,0.0448,Mountain West,Conference USA,0,0
6120,1,Old Dominion,South Dakota St.,"Wednesday, March 19, 2014",Old Dominion 72  South Dakota St. 65,62,0.5,0.0321,Conference USA,Summit League,0,0
6119,1,Radford,Oregon St.,"Wednesday, March 19, 2014",Radford 96  Oregon St. 92,73,0.654761905,0.0396,Big South,Pac Ten,0,0
6118,1,Illinois St.,Morehead St.,"Wednesday, March 19, 2014",Illinois St. 77  Morehead St. 67,69,0.455357143,0.0181,Missouri Valley,Ohio Valley,0,0
6117,1,Texas A&M,Wyoming,"Wednesday, March 19, 2014",Texas A&M 59  Wyoming 43,63,0.405940594,0.0079,SEC,Mountain West,0,0
6116,1,Georgia,Vermont,"Wednesday, March 19, 2014",Georgia 63  Vermont 56,60,0.542682927,0.035,SEC,America East,0,0
6115,1,Louisiana Tech,Iona,"Wednesday, March 19, 2014",Louisiana Tech 89  Iona 88,77,0.531914894,0.0422,Conference USA,MAAC,0,0
6114,1.759748428,Georgetown,West Virginia,"Tuesday, March 18, 2014",Georgetown 77  West Virginia 65,64,0.50990099,0.0265,Big East,Big Twelve,0,0
6113,1,Florida St.,Florida Gulf Coast,"Tuesday, March 18, 2014",Florida St. 58  Florida Gulf Coast 53,66,0.459183673,0.0221,ACC,Atlantic Sun,0,0
6112,1,Missouri,Davidson,"Tuesday, March 18, 2014",Missouri 85  Davidson 77,71,0.534188034,0.0383,SEC,Southern,0,0
6111,1,Southern Miss,Toledo,"Wednesday, March 19, 2014",Southern Miss 66  Toledo 59,66,0.49047619,0.0224,Conference USA,MAC,0,0
6110,1,Saint Mary's,Utah,"Tuesday, March 18, 2014",Saint Mary's 70  Utah 58,68,0.505376344,0.031,WCC,Pac Ten,0,0
6109,1,Minnesota,High Point,"Tuesday, March 18, 2014",Minnesota 88  High Point 81,67,0.551401869,0.0061,Big Ten,Big South,0,0
6108,1,Illinois,Boston University,"Wednesday, March 19, 2014",Illinois 66  Boston University 62,60,0.555,0.0385,Big Ten,Patriot League,0,0
6107,2.362098139,Clemson,Georgia St.,"Tuesday, March 18, 2014",Clemson 78  Georgia St. 66,64,0.467213115,0.0261,ACC,Sun Belt,0,0
6106,1,Belmont,Green Bay,"Tuesday, March 18, 2014",Belmont 80  Green Bay 65,71,0.551886792,0.0258,Ohio Valley,Horizon League,0,0
6105,1,Robert Morris,St. John's,"Tuesday, March 18, 2014",Robert Morris 89  St. John's 78,75,0.537313433,0.0212,Northeast,Big East,0,0
6104,1,California,Utah Valley,"Wednesday, March 19, 2014",California 77  Utah Valley 64,66,0.520491803,0.008,Pac Ten,WAC,0,0
6103,1,Arkansas,Indiana St.,"Tuesday, March 18, 2014",Arkansas 91  Indiana St. 71,77,0.473684211,0.0119,SEC,Missouri Valley,0,0
6102,1,LSU,San Francisco,"Wednesday, March 19, 2014",LSU 71  San Francisco 63,64,0.483193277,0.031,SEC,WCC,0,0
6101,1,SMU,UC Irvine,"Wednesday, March 19, 2014",SMU 68  UC Irvine 54,66,0.400900901,0.0242,American,Big West,0,0
6100,1,Pacific,Grand Canyon,"Wednesday, March 19, 2014",Pacific 69  Grand Canyon 67,66,0.570707071,0.0445,WCC,WAC,0,0
6099,1,Texas A&M Corpus Chris,Northern Colorado,"Wednesday, March 19, 2014",Texas A&M Corpus Chris 82  Northern Colorado 71,59,0.598039216,0.0359,Southland,Big Sky,0,0
6097,1,Murray St.,Missouri St.,"Wednesday, March 19, 2014",Murray St. 66  Missouri St. 63,59,0.461538462,0.0438,Ohio Valley,Missouri Valley,0,0
6096,1,IPFW,Akron,"Wednesday, March 19, 2014",IPFW 97  Akron 91,67,0.698198198,0.0363,Summit League,MAC,0,0
6095,1,Ohio,Cleveland St.,"Wednesday, March 19, 2014",Ohio 64  Cleveland St. 62,68,0.462962963,0.0506,MAC,Horizon League,0,0
6094,1,Towson,USC Upstate,"Wednesday, March 19, 2014",Towson 63  USC Upstate 60,66,0.46875,0.0441,CAA,Atlantic Sun,0,0
6093,1,Yale,Quinnipiac,"Wednesday, March 19, 2014",Yale 69  Quinnipiac 68,69,0.468253968,0.057,Ivy League,MAAC,0,0
6092,1,San Diego,Portland St.,"Tuesday, March 18, 2014",San Diego 87  Portland St. 65,68,0.53125,0.0085,WCC,Big Sky,0,0
6091,1,Sam Houston St.,Alabama St.,"Tuesday, March 18, 2014",Sam Houston St. 71  Alabama St. 49,67,0.409090909,0.0091,Southland,SWAC,0,0
6090,1,Columbia,Valparaiso,"Tuesday, March 18, 2014",Columbia 58  Valparaiso 56,52,0.47,0.0531,Ivy League,Horizon League,0,0
6089,1,East Tennessee St.,Chattanooga,"Tuesday, March 18, 2014",East Tennessee St. 79  Chattanooga 66,69,0.434108527,0.0195,Atlantic Sun,Southern,0,0
6088,1,Eastern Michigan,Norfolk St.,"Tuesday, March 18, 2014",Eastern Michigan 58  Norfolk St. 54,58,0.489361702,0.0207,MAC,MEAC,0,0
6087,1,Wright St.,East Carolina,"Tuesday, March 18, 2014",Wright St. 73  East Carolina 59,62,0.569148936,0.0216,Horizon League,Conference USA,0,0
6086,1,VMI,Canisius,"Tuesday, March 18, 2014",VMI 111  Canisius 100,83,0.576388889,0.0341,Big South,MAAC,0,0
6084,1,Holy Cross,Brown,"Monday, March 17, 2014",Holy Cross 68  Brown 65,70,0.45620438,0.0301,Patriot League,Ivy League,0,0
6083,1,Michigan,Wofford,"Thursday, March 20, 2014",Michigan 57  Wofford 40,56,0.444444444,0.0049,Big Ten,Southern,0,1
6082,3.957536467,Texas,Arizona St.,"Thursday, March 20, 2014",Texas 87  Arizona St. 85,70,0.565789474,0.0424,Big Twelve,Pac Ten,0,1
6081,1,Mercer,Duke,"Friday, March 21, 2014",Mercer 78  Duke 71,64,0.53271028,0.029,Atlantic Sun,ACC,0,1
6080,5.16490135,Kentucky,Kansas St.,"Friday, March 21, 2014",Kentucky 56  Kansas St. 49,61,0.412621359,0.0187,SEC,Big Twelve,0,1
6079,1,Wisconsin,American,"Thursday, March 20, 2014",Wisconsin 75  American 35,58,0.494382022,0.0111,Big Ten,Patriot League,0,1
6078,4.186280815,Oregon,BYU,"Thursday, March 20, 2014",Oregon 87  BYU 68,72,0.439130435,0.0178,Pac Ten,WCC,0,1
6077,1,Creighton,Louisiana Lafayette,"Friday, March 21, 2014",Creighton 76  Louisiana Lafayette 66,65,0.495833333,0.0184,Big East,Sun Belt,0,1
6076,4.624348751,Baylor,Nebraska,"Friday, March 21, 2014",Baylor 74  Nebraska 60,68,0.447916667,0.0118,Big Twelve,Big Ten,0,1
6075,1.6,San Diego St.,New Mexico St.,"Thursday, March 20, 2014",San Diego St. 73  New Mexico St. 69,73,0.439516129,0.0269,Mountain West,WAC,0,1
6074,3.563538296,North Dakota St.,Oklahoma,"Thursday, March 20, 2014",North Dakota St. 80  Oklahoma 75,72,0.495934959,0.0546,Summit League,Big Twelve,0,1
6073,7.299949571,Gonzaga,Oklahoma St.,"Friday, March 21, 2014",Gonzaga 85  Oklahoma St. 77,78,0.495652174,0.0244,WCC,Big Twelve,0,1
6072,1,Arizona,Weber St.,"Friday, March 21, 2014",Arizona 68  Weber St. 59,60,0.49,0.0032,Pac Ten,Big Sky,0,1
6071,1,Villanova,Milwaukee,"Thursday, March 20, 2014",Villanova 73  Milwaukee 53,69,0.408,0.009,Big East,Horizon League,0,1
6070,4.610036978,Connecticut,Saint Joseph's,"Thursday, March 20, 2014",Connecticut 89  Saint Joseph's 81,72,0.55,0.0519,American,A10,0,1
6069,1.622885572,Iowa St.,North Carolina Central,"Friday, March 21, 2014",Iowa St. 93  North Carolina Central 75,63,0.6,0.0168,Big Twelve,MEAC,0,1
6068,4.805564304,North Carolina,Providence,"Friday, March 21, 2014",North Carolina 79  Providence 77,65,0.524193548,0.0436,ACC,Big East,0,1
6067,1,Michigan St.,Delaware,"Thursday, March 20, 2014",Michigan St. 93  Delaware 78,73,0.531531532,0.0078,Big Ten,CAA,0,1
6066,5.96248062,Harvard,Cincinnati,"Thursday, March 20, 2014",Harvard 61  Cincinnati 57,60,0.445544554,0.0406,Ivy League,American,0,1
6065,4.49994615,Memphis,George Washington,"Friday, March 21, 2014",Memphis 71  George Washington 66,60,0.504504505,0.0342,American,A10,0,1
6064,1,Virginia,Coastal Carolina,"Friday, March 21, 2014",Virginia 70  Coastal Carolina 59,59,0.561111111,0.0097,ACC,Big South,0,1
6063,1,Kansas,Eastern Kentucky,"Friday, March 21, 2014",Kansas 80  Eastern Kentucky 69,64,0.545454545,0.0231,Big Twelve,Ohio Valley,0,1
6062,5.226981627,Stanford,New Mexico,"Friday, March 21, 2014",Stanford 58  New Mexico 53,62,0.435643564,0.0339,Pac Ten,Mountain West,0,1
6061,1,Syracuse,Western Michigan,"Thursday, March 20, 2014",Syracuse 77  Western Michigan 53,64,0.476415094,0.0042,ACC,MAC,0,1
6060,4.145820106,Dayton,Ohio St.,"Thursday, March 20, 2014",Dayton 60  Ohio St. 59,66,0.494949495,0.0525,A10,Big Ten,0,1
6059,2.531385281,UCLA,Tulsa,"Friday, March 21, 2014",UCLA 76  Tulsa 59,67,0.466666667,0.0174,Pac Ten,Conference USA,0,1
6058,4.08657188,Stephen F. Austin,VCU,"Friday, March 21, 2014",Stephen F. Austin 77  VCU 75,70,0.551724138,0.0464,Southland,A10,0,1
6057,3.425641026,Louisville,Manhattan,"Thursday, March 20, 2014",Louisville 71  Manhattan 64,68,0.438679245,0.0229,American,MAAC,0,1
6056,2.559481361,Pittsburgh,Colorado,"Thursday, March 20, 2014",Pittsburgh 77  Colorado 48,61,0.485436893,0.0039,ACC,Pac Ten,0,1
6055,6.885470085,Tennessee,Iowa,"Wednesday, March 19, 2014",Tennessee 78  Iowa 65,65,0.46875,0.0525,SEC,Big Ten,0,1
6054,1,Cal Poly,Texas Southern,"Wednesday, March 19, 2014",Cal Poly 81  Texas Southern 69,62,0.574257426,0.0172,Big West,SWAC,0,1
6053,2.034343434,North Carolina St.,Xavier,"Tuesday, March 18, 2014",North Carolina St. 74  Xavier 59,64,0.509259259,0.0285,ACC,Big East,0,1
6052,1,Albany,Mount St. Mary's,"Tuesday, March 18, 2014",Albany 71  Mount St. Mary's 64,64,0.523364486,0.0393,America East,Northeast,0,1
6051,8.299556869,Michigan St.,Michigan,"Sunday, March 16, 2014",Michigan St. 69  Michigan 55,58,0.444444444,0.0204,Big Ten,Big Ten,1,0
6050,8.054117647,Florida,Kentucky,"Sunday, March 16, 2014",Florida 61  Kentucky 60,62,0.447115385,0.0241,SEC,SEC,1,0
6049,4.336880543,Saint Joseph's,VCU,"Sunday, March 16, 2014",Saint Joseph's 65  VCU 61,64,0.465217391,0.042,A10,A10,1,0
6048,1,Louisiana Lafayette,Georgia St.,"Sunday, March 16, 2014",Louisiana Lafayette 82  Georgia St. 81,70,0.511278195,0.0491,Sun Belt,Sun Belt,1,0
6047,9.199806763,Virginia,Duke,"Sunday, March 16, 2014",Virginia 72  Duke 63,61,0.468181818,0.0357,ACC,ACC,1,0
6046,1,Cal Poly,Cal St. Northridge,"Saturday, March 15, 2014",Cal Poly 61  Cal St. Northridge 59,60,0.414414414,0.0508,Big West,Big West,1,0
6045,6.421882952,New Mexico,San Diego St.,"Saturday, March 15, 2014",New Mexico 64  San Diego St. 58,59,0.435,0.0514,Mountain West,Mountain West,1,0
6044,8.117497556,UCLA,Arizona,"Saturday, March 15, 2014",UCLA 75  Arizona 71,69,0.5,0.0505,Pac Ten,Pac Ten,1,0
6043,1,New Mexico St.,Idaho,"Saturday, March 15, 2014",New Mexico St. 77  Idaho 55,59,0.51010101,0.0068,WAC,WAC,1,0
6042,1,Louisiana Lafayette,Western Kentucky,"Saturday, March 15, 2014",Louisiana Lafayette 73  Western Kentucky 72,67,0.578431373,0.0369,Sun Belt,Sun Belt,1,0
6041,6.465846154,Iowa St.,Baylor,"Saturday, March 15, 2014",Iowa St. 74  Baylor 65,63,0.523809524,0.0397,Big Twelve,Big Twelve,1,0
6040,4.975925926,Providence,Creighton,"Saturday, March 15, 2014",Providence 65  Creighton 58,56,0.469387755,0.0404,Big East,Big East,1,0
6039,7.678286558,Louisville,Connecticut,"Saturday, March 15, 2014",Louisville 71  Connecticut 61,64,0.465217391,0.0102,American,American,1,0
6038,1,Texas Southern,Prairie View A&M,"Saturday, March 15, 2014",Texas Southern 78  Prairie View A&M 73,66,0.523364486,0.0288,SWAC,SWAC,1,0
6037,2.312820513,Kentucky,Georgia,"Saturday, March 15, 2014",Kentucky 70  Georgia 58,57,0.550561798,0.0169,SEC,SEC,1,0
6036,1,Western Michigan,Toledo,"Saturday, March 15, 2014",Western Michigan 98  Toledo 77,72,0.538167939,0.0285,MAC,MAC,1,0
6035,5.903885481,VCU,George Washington,"Saturday, March 15, 2014",VCU 74  George Washington 55,65,0.514423077,0.0332,A10,A10,1,0
6034,3.021443737,Duke,North Carolina St.,"Saturday, March 15, 2014",Duke 75  North Carolina St. 67,55,0.572115385,0.0192,ACC,ACC,1,0
6033,1,Stephen F. Austin,Sam Houston St.,"Saturday, March 15, 2014",Stephen F. Austin 68  Sam Houston St. 49,58,0.5,0.0154,Southland,Southland,1,0
6032,1,Weber St.,North Dakota,"Saturday, March 15, 2014",Weber St. 88  North Dakota 67,64,0.521929825,0.0084,Big Sky,Big Sky,1,0
6031,8.232102413,Michigan St.,Wisconsin,"Saturday, March 15, 2014",Michigan St. 83  Wisconsin 75,63,0.574257426,0.0178,Big Ten,Big Ten,1,0
6030,1,North Carolina Central,Morgan St.,"Saturday, March 15, 2014",North Carolina Central 71  Morgan St. 62,64,0.465346535,0.0216,MEAC,MEAC,1,0
6029,1,Georgia St.,Arkansas St.,"Saturday, March 15, 2014",Georgia St. 72  Arkansas St. 45,60,0.461904762,0.0144,Sun Belt,Sun Belt,1,0
6028,1.234009009,Tulsa,Louisiana Tech,"Saturday, March 15, 2014",Tulsa 69  Louisiana Tech 60,66,0.457142857,0.0388,Conference USA,Conference USA,1,0
6027,7.998219585,Michigan,Ohio St.,"Saturday, March 15, 2014",Michigan 72  Ohio St. 69,63,0.597087379,0.0351,Big Ten,Big Ten,1,0
6026,1,Saint Joseph's,St. Bonaventure,"Saturday, March 15, 2014",Saint Joseph's 67  St. Bonaventure 48,67,0.380952381,0.0256,A10,A10,1,0
6025,8.762736536,Florida,Tennessee,"Saturday, March 15, 2014",Florida 56  Tennessee 49,60,0.477777778,0.0433,SEC,SEC,1,0
6024,8.091703486,Virginia,Pittsburgh,"Saturday, March 15, 2014",Virginia 51  Pittsburgh 48,54,0.446808511,0.0331,ACC,ACC,1,0
6023,1.059708193,New Mexico,Boise St.,"Friday, March 14, 2014",New Mexico 70  Boise St. 67,66,0.47706422,0.0306,Mountain West,Mountain West,1,0
6022,1,New Mexico St.,Cal St. Bakersfield,"Friday, March 14, 2014",New Mexico St. 69  Cal St. Bakersfield 63,57,0.543269231,0.0338,WAC,WAC,1,0
6021,1,Cal Poly,UC Irvine,"Friday, March 14, 2014",Cal Poly 61  UC Irvine 58,55,0.51,0.0439,Big West,Big West,1,0
6020,5.861490683,UCLA,Stanford,"Friday, March 14, 2014",UCLA 84  Stanford 59,64,0.56185567,0.0084,Pac Ten,Pac Ten,1,0
6019,3.41756683,Louisiana Tech,Southern Miss,"Friday, March 14, 2014",Louisiana Tech 88  Southern Miss 70,70,0.570175439,0.0193,Conference USA,Conference USA,1,0
